Name,Address,Rating,Enrollment,Grade span
Pivot Charter Riverside Ii School,"29680 Lakeview Ave., Nuevo",-,80,KG-12
Pivot Online Charter - North Bay School,"2999 Cleveland Ave. Ste. D, Santa Rosa",33,244,KG-12
Pixley Elementary School,"300 N. Sch St., Pixley",8,740,KG-05
Pixley Middle School,"1520 E. Ct. St., Pixley",9,369,06-08
Placer County Community School,"360 Nevada St., Auburn",35,35,KG-12
Placer County Court School,"360 Nevada St., Auburn",-,12,KG-12
Placer County Pathways Charter School,"360 Nevada St., Auburn",48,250,KG-12
Placer County Special Education School,"360 Nevada St., Auburn",-,117,KG-12
Placer Elementary School,"8650 Horseshoe Bar Rd., Loomis",81,488,KG-08
Placer High School,"275 Orange St., Auburn",78,"1,381",09-12
Placerita Junior High School,"25015 N. Newhall Ave., Newhall",76,"1,053",07-08
Plainfield Elementary School,"20450 Co Rd. 97, Woodland",46,340,KG-06
Plainsburg Union Elementary School,"3708 S. Plainsburg Rd., Merced",45,119,KG-08
Plainview Academic Charter Academy School,"10819 Plainview Ave., Los Angeles",20,336,KG-05
Planada Elementary School,"9525 E. Broderick St., Planada",9,553,KG-05
Plantation Elementary School,"901 Plantation Ave., Bakersfield",35,679,KG-05
Planz Elementary School,"2400 Planz Rd., Bakersfield",33,704,KG-05
Platina Elementary School,"3955 Platina Sch Rd., Platina",-,8,KG-08
Plavan (Urbain H.) Elementary School,"9675 Warner Ave., Fountain Valley",89,522,KG-05
Playa Vista Elementary School,"13150 W. Bluff Creek Dr., Playa Vista",83,541,KG-06
Playa Del Rey Elementary School,"12221 Juniette St., Culver City",91,265,KG-05
Plaza Elementary School,"7322 Co Rd. 24, Orland",58,190,KG-08
Plaza Robles Continuation High School,"9434 Thornton Rd., Stockton",11,134,09-12
Plaza Vista School,"670 Paseo W.park, Irvine",95,940,KG-08
Pleasant Elementary School,"1855 W. Pleasant Ave., Tulare",23,666,KG-05
Pleasant Grove School,"3075 Howsley Rd., Pleasant Grove",80,213,KG-08
Pleasant Grove Elementary School,"10160 Pleasant Grove Sch Rd., Elk Grove",76,480,KG-06
Pleasant Grove High School,"9531 Bond Rd., Elk Grove",90,"2,547",09-12
Pleasant Grove Middle School,"2540 Green Valley Rd., Rescue",78,620,06-08
Pleasant Hill Elementary School,"2097 Oak Park Blvd., Pleasant Hill",79,692,KG-05
Pleasant Hill Middle School,"1 Santa Barbara Rd., Pleasant Hill",63,923,06-08
Pleasant Ridge Special Education Pre School,"22580 Kingston Ln., Grass Valley",-,-,-
Pleasant Valley Elementary School,"755 Sutro Ave., Novato",86,499,KG-05
Pleasant Valley Elementary School,"14685 Pleasant Valley Rd., Penn Valley",52,207,04-08
Pleasant Valley Elementary School,"2025 Ranchita Canyon Rd., San Miguel",38,110,KG-08
Pleasant Valley High School,"1475 E. Ave., Chico",77,"1,816",09-12
Pleasant Valley Middle School,"4120 Pleasant Valley Rd., Placerville",61,159,06-08
Pleasant Valley Of Engineering And Arts School,"1099 N. Bedford Dr., Camarillo",44,448,KG-08
Pleasant View School,"16692 Landau Ln., Huntington Beach",-,-,PK
Pleasant View Elementary School,"14900 E. Nubia St., Baldwin Park",17,444,KG-06
Pleasant View Elementary School,"14004 Rd. 184, Porterville",7,486,KG-08
Pleasanton Middle School,"5001 Case Ave., Pleasanton",96,"1,272",06-08
Plum Canyon Elementary School,"28360 N. Alfred Way, Santa Clarita",73,679,KG-06
Plum Valley Elementary School,"29950 Plum Creek Rd., Paynes Creek",-,18,KG-08
Plumas Avenue Elementary School,"440 Plumas Ave., Oroville",24,291,KG-05
Plumas Charter School,"175 N. Mill Creek, Quincy",46,332,KG-12
Plumas County Community School,"256 Jackson St., Quincy",-,6,07-12
Plumas County Opportunity School,"1446 E. Main St., Quincy",-,8,07-09
Plumas County Rop School,"50 Church St., Quincy",-,-1,11-12
Plummer Elementary School,"9340 Noble Ave., Los Angeles",16,935,KG-06
Plymouth Elementary School,"1300 Boley St., Monrovia",53,418,KG-05
Plymouth Elementary School,"10601 Sherwood, Plymouth",43,216,KG-06
Podesta Ranch Elementary School,"9950 Windmill Park Dr., Stockton",67,537,KG-06
Poinsettia Elementary School,"2445 Mica Rd., Carlsbad",88,540,KG-05
Poinsettia Elementary School,"350 N. Victoria Ave., Ventura",82,507,KG-05
Point Arena High School,"270 Lake St., Point Arena",28,141,09-12
Point Dume Elementary School,"6955 Fernhill Dr., Malibu",87,195,KG-05
Point Fermin Elementary School,"3333 Kerckhoff Ave., Los Angeles",57,337,KG-05
Point Loma High School,"2335 Chatsworth Blvd., San Diego",59,"1,915",09-12
Point Vicente Elementary School,"30540 Rue de La Pierre, Rancho Palos Verdes",97,374,KG-05
Polaris High (Alternative) School,"1800 W. Ball Rd., Anaheim",19,204,07-12
Pole Corral Elementary School,"65265 Hall Meadow, Shaver Lake",-,4,KG-08
Polytechnic High School,"1600 Atlantic Ave., Long Beach",58,"4,370",09-12
Polytechnic High School,"5450 Victoria Ave., Riverside",55,"2,744",09-12
Pomelo Community Charter School,"7633 March Ave., Los Angeles",77,640,KG-05
Pomerado Elementary School,"12321 Ninth St., Poway",75,416,KG-05
Pomeroy Elementary School,"1250 Pomeroy Ave., Santa Clara",43,514,KG-05
Pomo School,"3350 Acacia St., Clearlake",6,670,KG-07
Pomolita Middle School,"740 N. Spring St., Ukiah",31,796,06-08
Pomona Alternative School,"1460 E. Holt Ave. Ste. 100, Pomona",24,17,KG-12
Pomona Community Day School,"605 N. Park Ave., Pomona",-,14,07-12
Pomona Elementary School,"2051 Pomona Ave., Costa Mesa",35,508,KG-06
Pomona High School,"475 Bangor St., Pomona",30,"1,340",09-12
Pond Elementary School,"29585 Pond Rd., Wasco",32,219,KG-08
Ponderosa Elementary School,"2135 S. Mountain View Ave., Anaheim",11,"1,032",KG-06
Ponderosa Elementary School,"6593 Pentz Rd, Paradise",21,561,KG-05
Ponderosa Elementary School,"295 Ponderosa Rd., South San Francisco",50,432,KG-05
Ponderosa Elementary School,"804 Ponderosa Ave., Sunnyvale",78,570,KG-05
Ponderosa High School,"3661 Ponderosa Rd., Shingle Springs",88,"1,778",09-12
Pony Express Elementary School,"1250 56th Ave., Sacramento",60,429,KG-06
Pope Valley Elementary School,"6200 Pope Valley Rd., Pope Valley",16,51,KG-08
Poplar Avenue Elementary School,"2075 Poplar Ave., Oroville",17,259,KG-05
Poplar Elementary School,"9937 Poplar Ave., Fontana",26,679,KG-06
Port Of Los Angeles High School,"250 W. Fifth St., Los Angeles",83,980,09-12
Porter Elementary School,"4800 T St., San Diego",20,996,KG-06
Porter Ranch Community School,"12450 Mason Ave., Porter Ranch",95,"1,093",KG-08
Porterville High School,"465 W. Olive Ave., Porterville",45,"1,932",09-12
Portola Elementary School,"300 Amador Ave., San Bruno",87,344,KG-05
Portola Elementary School,"6700 Eagle St., Ventura",82,606,KG-05
Portola High School,"1001 Cadence, Irvine",-,-,09-12
Portola Hills Elementary School,"19422 Saddleback Ranch Rd., Trabuco Canyon",94,780,KG-06
Portola Junior/Senior High School,"155 Sixth Ave., Portola",61,253,07-12
Portola Middle School,"270 N. Palm Dr., Orange",31,701,06-08
Portola Opportunity School,"1446 E. Main St., Quincy",-,10,KG-08
Portola Springs Elementary School,"12100 Portola Springs, Irvine",98,626,KG-06
Portola-Butler Continuation High School,"760 BRd.way St., King City",16,88,09-12
Post Elementary School,"14641 Ward St., Westminster",79,535,KG-06
Potrero Elementary School,"2611 N. Potrero Ave., El Monte",26,925,KG-08
Potrero Elementary School,"24875 Potrero Valley Rd., Potrero",8,304,KG-08
Potrero Heights Elementary School,"8026 E. Hill Dr., South San Gabriel",74,429,KG-05
Potter Valley Elementary School,"10401 Main St., Potter Valley",27,159,KG-06
Potter Valley High School,"10401 Main St., Potter Valley",39,82,09-12
Potter Valley Junior High School,"10401 Main St., Potter Valley",-,35,07-08
Poway High School,"15500 Espola Rd., Poway",81,"2,250",09-12
Powell Academy For Success School,"150 Victoria St., Long Beach",38,"1,309",KG-08
Powers-Ginsburg Elementary School,"110 E. Swift Ave., Fresno",24,519,KG-06
Prado View Elementary School,"2800 Ridgeline Dr., Corona",64,803,KG-06
Prairie Elementary School,"20981 Dersch Rd., Anderson",46,303,KG-03
Prairie Elementary School,"5251 Valley Hi Dr., Sacramento",23,"1,005",KG-06
Prairie Vista Middle School,"13600 S. Prairie Ave., Hawthorne",29,914,06-08
Prepa Tec Los Angeles High School,"2665 Clarendon Ave., Huntington Park",-,-,09-12
Preparatory Literary Academy Of Cultural Excellence School,"920 Campbell St., Oakland",6,233,KG-05
Pre School,"565 Chaney St., Lake Elsinore",-,-,-
Pre School,"5715 Utah Trail, Twentynine Palms",-,-,-
Pre Early Education Program Peep School,"3635 Appian Way, Camarillo",-,-,-
Pre Grasp School,"3939 13th St., Riverside",-,-,PK
Prescott Junior High School,"2243 W. Rumble Rd., Modesto",58,707,07-08
President Avenue Elementary School,"1465 W. 243rd St., Los Angeles",28,431,KG-06
Presidio Children Center School,"Bldg 387 Presidio, San Francisco",-,-,PK
Presidio Middle School,"450 30th Ave., San Francisco",92,"1,100",06-08
Preston Elementary School,"1750 N. Willow Ave., Rialto",17,623,KG-05
Prestwood Elementary School,"343 E. MacArthur St., Sonoma",54,430,KG-05
Preuss Ucsd School,"9500 Gilman Dr., San Diego",83,840,06-12
Price (Adelaide) Elementary School,"1516 W. N. St., Anaheim",32,805,KG-06
Price Charter Middle School,"2650 New Jersey Ave., San Jose",82,"1,115",06-08
Price Elementary School,"9525 S. Tweedy Ln., Downey",69,881,KG-05
Price Intermediate School,"1212 Marin St., Orland",16,448,06-08
Pride Continuation School,"100 N. Jack Tone Rd., Stockton",28,50,09-12
Primary Academy For Success School,"9075 Willis Ave., Los Angeles",-,318,KG-02
Primary Charter School,"51 E. Beverly Pl., Tracy",67,362,KG-04
Primary Years Academy School,"1540 N Lincoln St., Stockton",60,312,KG-05
Princeton Elementary School,"428 Norman Rd., Princeton",48,67,KG-06
Princeton Junior-Senior High School,"473 State St., Princeton",40,97,07-12
Princeton Street Elementary School,"1959 Princeton St., Delano",23,614,KG-05
Prisk Elementary School,"2375 Fanwood Ave., Long Beach",87,566,KG-05
Proctor Elementary School,"17520 Redwood Rd., Castro Valley",92,501,KG-05
Proctor Terrace Elementary School,"1711 Bryden Ln., Santa Rosa",46,482,KG-06
Promenade Elementary School,"550 Hamilton Dr., Corona",74,662,KG-05
Prospect Community Day School,"2710 Kilgore Rd., Rancho Cordova",-,35,07-12
Prospect Education Center School,"645 N. Prospect St., Porterville",12,77,KG-12
Prospect Elementary School,"379 N. Virage St., Orange",35,437,KG-06
Prospect High School,"18900 Prospect Rd., Saratoga",75,"1,474",09-12
Prospect High (Continuation) School,"2060 Second St., Oroville",5,129,09-12
Prospect High (Continuation) School,"One Santa Barbara Rd., Pleasant Hill",29,48,09-12
Prospects High (Alternative) School,"820 W. Second St., Antioch",29,380,KG-12
Providence School,"4333 Vineyard Ave., Oxnard",13,73,KG-12
Providencia Elementary School,"1919 N. Ontario St., Burbank",64,390,KG-05
Provisional Accelerated Learning Academy School,"2450 Blake St., San Bernardino",8,167,09-12
Prunedale Elementary School,"17719 Pesante Rd., Salinas",23,655,KG-06
Public Policy Charter School,"1701 Browning Blvd., Los Angeles",-,92,05-08
Public Safety Academy School,"230 Atlantic Ave., Fairfield",89,621,05-12
Public Safety Academy School,"1482 E. Enterprise Dr., San Bernardino",26,410,06-12
Public Service Community At Diego Rivera Learning Complex School,"6100 S. Central Ave., Los Angeles",38,527,09-12
Pueblo Vista Elementary School,"1600 Barbara Rd., Napa",39,315,KG-05
Pueblo De Los Angeles Continuation School,"2506 Alta St., Los Angeles",45,85,09-12
Puente Charter School,"501 S. Boyle Ave., Los Angeles",-,116,KG
Puente Hills High School,"15430 Shadybend Dr., Hacienda Heights",4,159,07-12
Puesta Del Sol Elementary School,"15887 Acad St., Victorville",5,653,KG-06
Pulliam Elementary School,"230 Presidio Way, Stockton",13,745,KG-08
Purche Avenue Elementary School,"13210 Purche Ave., Gardena",16,528,KG-05
Pyle Elementary School,"4140 N. Augusta Ave., Fresno",8,765,KG-06
Queen Of All Saints School,"2391 GRANT ST, Concord",-,199,PK-8
Quail Glen Elementary School,"1250 Canevari Dr., Roseville",86,554,KG-05
Quail Lake Environmental Charter School,"4087 N. Quail Lake Dr., Clovis",94,561,KG-08
Quail Run Elementary School,"4000 Goldenbay Ave., San Ramon",95,"1,028",KG-05
Quail Summit Elementary School,"23330 E. Quail Summit Dr., Diamond Bar",95,663,KG-05
Quail Valley Elementary School,"37236 58th St. E., Palmdale",15,765,KG-06
Quail Valley Elementary School,"23757 Canyon Heights Dr., Quail Valley",41,552,KG-05
Quail Valley Middle School,"10058 Arrowhead Rd., Phelan",49,"1,083",06-08
Quailwood Elementary School,"7301 Remington Ave., Bakersfield",47,390,KG-06
Quantum Academy School,"420 N. Falconer Rd., Escondido",78,175,04-06
Quartz Hill Elementary School,"41820 N. 50th St. W., Quartz Hill",31,800,KG-06
Quartz Hill High School,"6040 W. Ave. L, Quartz Hill",56,"3,063",09-12
Queen Anne Place Elementary School,"1212 Queen Anne Pl., Los Angeles",39,393,KG-05
Quest Academy School,"8805 Tyler St., Spring Valley",15,19,06-08
Quimby Oak Middle School,"3190 Quimby Rd., San Jose",91,"1,016",07-08
Quincy Elementary School,"246 Alder St., Quincy",68,315,KG-06
Quincy Jones Elementary School,"900 E. 33rd St., Los Angeles",28,377,KG-05
Quincy Junior/Senior High School,"6 Quincy Junction Rd., Quincy",73,316,07-12
R. D. White Elementary School,"744 E. Doran St., Glendale",69,897,KG-05
R. F. Hazard Elementary School,"4218 W. Hazard Ave., Santa Ana",57,597,KG-06
R. I. Meyerholz Elementary School,"6990 Melvin Dr., San Jose",98,776,KG-05
R. J. Neutra School,"Comm Center Dr., N.A.S. Lemoore",84,496,KG-05
R. K. Lloyde High School,"14901 Inglewood Ave., Lawndale",8,196,09-12
R. L. Stevenson Elementary School,"3333 Oak St., Burbank",85,569,KG-05
R. M. Miano Elementary School,"1129 B St., Los Banos",19,963,KG-06
R. O. Hardin Elementary School,"881 Line St., Hollister",19,443,KG-05
R. Paul Krey Elementary School,"190 Crawford Dr., Brentwood",75,871,KG-05
R. Rex Parris High School,"38801 Clock Tower Plaza Dr., Palmdale",16,702,09-12
R. Roger Rowe Elementary School,"5927 La Granada, Rancho Santa Fe",96,427,KG-05
R. Roger Rowe Middle School,"5927 La Granada, Rancho Santa Fe",96,248,06-08
R.J. Frank Academy Of Marine Science & Engineering School,"701 N. Juanita Ave., Oxnard",16,"1,237",06-08
Rainbow Childrens Academy School,"1213 CENTINELA AVE, Inglewood",-,30,PK-KG
Rainbow Montessori School,"790 E DUANE AVE, Sunnyvale",-,898,PK-6
Rainbow School,"1801 BRISTOL AVE, Stockton",-,7,PK-KG
Ramona Convent Secondary School,"1701 W RAMONA RD, Alhambra",-,239,9-12
Rancho Encinitas Academy School,"910 ENCINITAS BLVD, Encinitas",-,34,3-8
Raskob Day School,"3520 MOUNTAIN BLVD, Oakland",-,71,2-8
Reach School,"487 Watertrough Rd., Sebastopol",47,100,KG-08
Reach Academy School,"230 Jamacha Rd., El Cajon",43,39,09-12
Reach Academy School,"804 N. Fairview Rd., Santa Ana",56,32,07-12
Reach Leadership Steam Academy School,"4850 Jurupa Ave., Riverside",47,393,KG-06
Real School,"110 MAGNOLIA AVENUE, Larkspur",-,6,7-8
Realm Charter High School,"2023 Eighth St., Berkeley",32,366,09-12
Realm Charter Middle School,"2023 Eighth St., Berkeley",25,302,06-08
Redding Adventist Academy School,"1356 E CYPRESS AVE, Redding",-,49,KG-8
Redeemer Baptist Elementary School,"10792 NATIONAL BLVD, Los Angeles",-,89,KG-7
Redeemer By The Sea Lutheran Kindergarten&prel School,"6604 BLACK RAIL RD, Carlsbad",-,209,PK-KG
Redeemer Lutheran Christian School,"920 W 6TH ST, Ontario",-,64,PK-7
Redeemer Lutheran School,"468 GRAND ST, Redwood City",-,208,KG-8
Redeemer Lutheran School,"2626 LIBERTY BLVD, South Gate",-,66,PK-8
Redlands Adventist Academy School,"130 TENNESSEE ST, Redlands",-,441,KG-12
Redlands Christian School,"105 TENNESSEE ST., Redlands",-,919,PK-12
Redwood Adventist Academy School,"385 MARK WEST SPRINGS RD, Santa Rosa",-,100,KG-12
Redwood Christian School,"19300 REDWOOD ROAD, Castro Valley",-,650,KG-12
Redwood Christian School,"2039 E ST, Eureka",-,57,KG-8
Redwood Montessori School,"11201 MAIN ST, Penngrove",-,36,PK-KG
Reformation Lutheran School,"4670 MOUNT ABERNATHY AVE, San Diego",-,142,PK-8
Regency Baptist Academy School,"6930 HAZEL AVE, Orangevale",-,34,KG-12
Rejoyce In Jesus Christian School,"1304 S. COCHRAN AVENUE, Los Angeles",-,19,1-8
Renaissance For Arts And Sciences School,"1 ROLLING HILLS PREP WAY, Los Angeles",-,72,5-12
Renaissance Village Academy School,"9988 HIBERT ST STE 301, San Diego",-,5,Ungraded
Renascence International School,"PO BOX 17533, Irvine",-,91,PK-5
Resurrection Academy School,"17434 MILLER AVE, Fontana",-,200,PK-8
Resurrection School,"1395 HOLLENBECK AVE, Sunnyvale",-,221,PK-8
Revival Christian Academy School,"29220 SCOTT RD, Menifee",-,116,KG-12
Rincon Valley Christian School,"4585 BADGER RD, Santa Rosa",-,482,PK-12
Ring Mountain Day School,"70 LOMITA DR, Mill Valley",-,61,KG-8
Rio Lindo Adventist Academy School,"3200 RIO LINDO AVE, Healdsburg",-,162,9-12
Ripon Christian School,"435 MAPLE AVE, Ripon",-,762,PK-12
Rise School,"1859 Bird St., Oroville",-,34,07-08
Rise & Shine Pre & Kindergarten School,"25222 WILEY CANYON RD, Newhall",-,56,PK-KG
Rise Institute School,"1760 CESAR CHAVEZ STE R, San Francisco",-,34,6-12
Rising Star Montessori School,"1421 HIGH ST, Alameda",-,161,PK-5
River Valley Christian School,"COUNTY ROAD 48 #8187, GLENN",-,116,KG-10
River Valley School,"451 PARKFAIR DR STE 5, Sacramento",-,8,9-11
Riverside Christian School,"8775 MAGNOLIA, Riverside",-,38,7-8
Riverside Christian School,"8775 MAGNOLIA AVE, Riverside",-,326,PK-12
Riverside Montessori Academy School,"7141 INDIANA AVE, Riverside",-,108,PK-4
Riviera Hall Lutheran School,"330 PALOS VERDES BLVD, Redondo Beach",-,254,PK-8
Rls Christian Day School,"520 16TH ST, Ramona",-,84,PK-6
Robbins Nest Pre School,"2912 HONOLULU AVE, La Crescenta-Montrose",-,139,PK-KG
Rock Christian Academy School,"4540 E RIVERDALE AVE, Anaheim",-,76,PK-5
Rockridge Montessori School,"5610 BROADWAY, Oakland",-,78,PK-KG
Roenne's School,"4701 W WASHINGTON BLVD, Los Angeles",-,22,PK-KG
Rolling Hills Country Day School,"26444 CRENSHAW BLVD, Rolling Hills Estates",-,385,KG-8
Rolling Hills Prep School,"1 ROLLING HILLS PREP WAY, Los Angeles",-,184,6-12
Ronald C Wornick Jewish Day School,"800 FOSTER CITY BLVD, Foster City",-,213,KG-8
Roots International Academy School,"1390 66th Ave., Oakland",5,330,06-08
Rop Center School,"333 S. Beaudry Ave. 18th Fl., Los Angeles",-,-1,AE
Rosary Academy School,"1340 N ACACIA AVE, Fullerton",-,520,9-12
Rose & Alex Pilibos Armenian School,"1615 N ALEXANDRIA AVE, Los Angeles",-,613,KG-12
Roseville Community School,"50 CORPORATION YARD RD, Roseville",-,50,KG-6
Rossier Park Elementary School,"395 S TUSTIN ST, Orange",-,62,1-8
Rsm Montessori School,"30075 COMERCIO, Rancho Santa Margarita",-,93,PK-1
Rachel Carson Elementary School,"4245 Meg Dr., San Jose",76,354,KG-05
Radcliff Elementary School,"550 Rodriguez St., Watsonville",9,560,KG-05
Rafer Johnson School,"1001 10th St., Bakersfield",6,48,KG-08
Rafer Johnson Childrens Center School,"1100 Ninth St., Bakersfield",-,-,PK
Rafer Johnson Junior High School,"1300 Stroud Ave., Kingsburg",67,436,07-08
Raffaello Palla Elementary School,"800 Fairview Rd., Bakersfield",34,904,KG-05
Rail Ranch Elementary School,"25030 Via Santee Rd., Murrieta",70,587,KG-06
Rail Road Flat Elementary School,"298 Rail Rd. Flat Rd., Rail Road Flat",38,46,KG-06
Railroad Canyon Elementary School,"1300 Mill St., Lake Elsinore",15,706,KG-05
Railway Elementary School,"555 Alpine Dr., Perris",41,857,KG-06
Rainbow Ridge Elementary School,"15950 Indian Ave., Moreno Valley",30,853,KG-05
Rainbow Springs School,"23990 Eucalyptus Ave., Moreno Valley",-,-,PK
Raincross High (Continuation) School,"6401 Lincoln Ave., Riverside",21,151,09-12
Raisin City Elementary School,"6425 W. Bowles Ave., Raisin City",8,300,KG-08
Ralph A. Gates Elementary School,"23882 Landisview Ave., Lake Forest",55,"1,039",KG-06
Ralph Bunche Elementary School,"16223 S. Haskins Ln., Carson",19,369,KG-08
Ralph Dunlap Elementary School,"1220 Oak Knoll Rd., Santa Maria",54,625,KG-06
Ralph E. Hawes Elementary School,"9682 Yellowstone Dr., Huntington Beach",98,668,KG-05
Ralph Emerson Elementary School,"720 E. Cypress Ave., Burbank",70,599,KG-05
Ralph J. Bunche High School,"1240 18th St., Oakland",9,75,09-12
Ralph Richardson Center School,"4848 Cottage Way, Carmichael",-,87,KG-12
Ralph Waldo Emerson Junior High School,"2121 Calaveras Ave., Davis",93,477,07-09
Ralston Intermediate School,"2675 Ralston Ave., Belmont",93,"1,199",06-08
Ramblewood Elementary School,"1351 Lightland Rd., San Jose",68,390,KG-06
Ramon C. Cortines Of Visual And Performing Arts School,"450 N. Grand Ave., Los Angeles",50,"1,527",09-12
Ramon Garza Elementary School,"2901 Center St., Bakersfield",19,954,KG-05
Ramon S. Tafoya Elementary School,"720 Homestead Way, Woodland",36,818,KG-06
Ramona School,"4617 W. 136th St., Hawthorne",53,755,KG-05
Ramona Community Montessori School,"1010 Ramona St., Ramona",73,263,KG-06
Ramona Elementary School,"509 W. Norwood Pl., Alhambra",73,880,KG-08
Ramona Elementary School,"9351 E. Laurel St., Bellflower",35,610,KG-06
Ramona Elementary School,"41051 Whittier Ave., Hemet",12,767,KG-05
Ramona Elementary School,"1133 N. Mariposa Ave., Los Angeles",16,622,KG-06
Ramona Elementary School,"4225 Howard St., Montclair",31,767,KG-06
Ramona Elementary School,"24801 Bay Ave., Moreno Valley",16,813,KG-05
Ramona Elementary School,"804 Cooper Rd., Oxnard",5,634,KG-05
Ramona Elementary School,"415 Eighth St., Ramona",32,459,KG-06
Ramona Head Start/State Pre School,"14616 Dinard Ave., Norwalk",-,-,PK
Ramona High School,"1401 Hanson Ln., Ramona",60,"1,604",09-12
Ramona High School,"7675 Magnolia Ave., Riverside",46,"2,128",09-12
Ramona Junior High School,"4575 Walnut Ave., Chino",27,558,07-08
Ramona Middle School,"3490 Ramona Ave., San Dimas",81,"1,391",06-08
Ramona Opportunity High School,"231 S. Alma Ave., Los Angeles",17,74,07-12
Ramona-Alessandro Elementary School,"670 Ramona Ave., San Bernardino",39,593,KG-06
Ranch Hills Elementary School,"2 Trabuco Pl., Pomona",66,485,KG-06
Ranch View Elementary School,"3300 Old Archibald Rd., Ontario",52,524,KG-05
Rancheria Continuation School,"12300 Anderson Valley Way, Boonville",-,12,09-12
Ranchero Middle School,"17607 Ranchero Rd., Hesperia",19,988,07-08
Ranchito Avenue Elementary School,"7940 Ranchito Ave., Los Angeles",45,565,KG-05
Rancho Alamitos High School,"11351 Dale St., Garden Grove",65,"1,793",09-12
Rancho Bernardo High School,"13010 Paseo Lucido, San Diego",90,"2,265",09-12
Rancho Buena Vista High School,"1601 Longhorn Dr., Vista",69,"2,417",09-12
Rancho Campana High School,"4235 Mar Vista Dr., Camarillo",91,345,09-12
Rancho Canada Elementary School,"21801 Winding Way, Lake Forest",77,714,KG-06
Rancho Cordova Elementary School,"2562 Chassella Way, Rancho Cordova",22,384,KG-05
Rancho Cotate High School,"5450 Snyder Ln., Rohnert Park",44,"1,426",09-12
Rancho Cucamonga High School,"11801 Lark Dr., Rancho Cucamonga",81,"3,444",09-12
Rancho Cucamonga Middle School,"10022 Feron Blvd., Rancho Cucamonga",33,785,06-08
Rancho Dominguez Preparatory School,"4110 Santa Fe Ave., Long Beach",30,975,06-12
Rancho Elementary School,"1430 Johnson St., Novato",84,440,KG-05
Rancho Elementary School,"8845 Noeline Ave., Spring Valley",38,394,KG-06
Rancho Elementary School,"31530 La Serena Way, Temecula",83,525,KG-05
Rancho Las Positas Elementary School,"401 E. Jack London Blvd., Livermore",64,542,KG-05
Rancho Learning Center (Alternative) School,"150 S. Third Ave., Arcadia",28,54,01-12
Rancho Medanos Junior High School,"2301 Range Rd., Pittsburg",26,922,06-08
Rancho Milpitas Middle School,"1915 Yellowstone Ave., Milpitas",84,721,07-08
Rancho Minerva Middle School,"2245 Foothill Dr., Vista",12,835,06-08
Rancho Mirage Elementary School,"42-985 Indian Trail Rd., Rancho Mirage",58,421,KG-05
Rancho Mirage High School,"31001 Rattler Rd., Rancho Mirage",55,"1,566",09-12
Rancho Pico Junior High School,"26250 W. Valencia Blvd., Stevenson Ranch",97,928,07-08
Rancho Romero Elementary School,"180 Hemme Ave., Alamo",97,497,KG-05
Rancho Rosal Elementary School,"3535 Village at the Park Dr., Camarillo",63,707,KG-05
Rancho San Diego Elementary School,"12151 Calle Albara, El Cajon",82,593,KG-05
Rancho San Joaquin Middle School,"4861 Michelson Dr., Irvine",95,863,07-08
Rancho San Justo School,"1201 Rancho Dr., Hollister",39,870,06-08
Rancho Santa Gertrudes Elementary School,"11233 E. Charlesworth Rd., Santa Fe Springs",25,399,KG-06
Rancho Santa Margarita Intermediate School,"21931 Alma Aldea, Rancho Santa Margarita",89,"1,332",07-08
Rancho Tehama Elementary School,"17357 Stagecoach Rd., Corning",30,101,KG-05
Rancho Verde Elementary School,"14334 Pioneer Rd., Apple Valley",17,654,KG-06
Rancho Verde High School,"17750 Lasselle St., Moreno Valley",49,"3,303",09-12
Rancho Viejo Middle School,"985 N. Cawston Ave., Hemet",19,"1,237",06-08
Rancho Vista Elementary School,"40641 Peonza Ln., Palmdale",47,684,KG-06
Rancho Vista Elementary School,"4323 Palos Verdes Dr. N., Rolling Hills Estates",94,443,KG-05
Rancho Vista High School,"32225 Pio Pico Rd., Temecula",19,194,09-12
Rancho De La Nacion School,"1830 E. Division St., National City",30,441,KG-06
Rancho Del Mar High (Continuation) School,"38 Crest Rd. W., Rolling Hills",13,72,10-12
Rancho Del Rey Middle School,"1174 E. J St., Chula Vista",82,"1,746",07-08
Rancho-Starbuck Intermediate School,"16430 Woodbrier Dr., Whittier",84,808,07-08
Ranchos Middle School,"12455 Rd. 35 1/2, Madera",68,292,07-08
Rand Elementary School,"37400 Saint Elmo St., Johannesburg",-,10,KG-03
Randall Pepper Elementary School,"16613 Randall Ave., Fontana",10,658,KG-05
Rare Earth High (Continuation) School,"2601 Rosamond Blvd., Rosamond",6,51,07-12
Ray Wiltsey Middle School,"1450 E. G St., Ontario",23,"1,038",06-08
Raymond A. Villa Fundamental Intermediate School,"1441 E. Chestnut Ave., Santa Ana",19,"1,350",06-08
Raymond Avenue Elementary School,"7511 Raymond Ave., Los Angeles",3,565,KG-05
Raymond Case Elementary School,"8565 Shasta Lily Dr., Elk Grove",77,811,KG-06
Raymond Cree Middle School,"1011 Vista Chino, Palm Springs",28,886,06-08
Raymond Elementary School,"517 N. Raymond Ave., Fullerton",36,476,KG-06
Raymond Granite High School,"38828 Rd. 600, Raymond",-,3,09-12
Raymond J. Fisher Middle School,"19195 Fisher Ave., Los Gatos",95,"1,263",06-08
Raymond Temple Elementary School,"7800 Holder St., Buena Park",60,504,KG-06
