Name,Address,Rating,Enrollment,Grade span
Academy Of Arts And Sciences: Sonoma School,"850 Hampshire Rd. Ste. P, Thousand Oaks",25,300,KG-12
Academy Of Arts And Sciences: Thousand Oaks & Simi Valley School,"850 Hampshire Rd. Ste. P, Westlake Village",36,365,KG-12
Academy Of Careers And Exploration School,"13943 Rivers Edge Rd., Helendale",55,288,07-12
Academy Of Medical Arts At Carson High School,"22328 S. Main St., Carson",69,510,09-12
Academy Of Personalized Learning School,"2195 Larkspur Ln. Ste. 100, Redding",51,368,KG-12
Academy Of Science And Engineering School,"5753 Rodeo Rd., Los Angeles",17,226,09-12
Academy Of Technology & Leadership At Saticoy School,"760 Jazmin Ave., Ventura",44,354,KG-05
Academy Of The Canyons School,"26455 Rockwell Canyon Rd., Santa Clarita",98,395,09-12
Academy Of The Redwoods School,"7351 Tompkins Hill Rd., Eureka",90,178,09-12
Acalanes Center For Independent Study School,"1963 Tice Valley Blvd., Walnut Creek",-,39,09-12
Acalanes High School,"1200 Pleasant Hill Rd., Lafayette",98,"1,423",09-12
Accelerated Achievement Academy School,"1151 Buena Vista Rd., Hollister",97,139,04-08
Accelerated Achievement Academy School,"1031 N. State St., Ukiah",37,160,04-12
Accelerated Charter Elementary School,"3914 S. Main St., Los Angeles",33,302,KG-06
Accelerated Charter High School,"4136 N. Mooney Blvd., Tulare",-,-,09-12
Access County Community School,"200 Kalmus Dr., Costa Mesa",15,"2,576",KG-12
Access Juvenile Hall School,"1715 E. Wilshire Ave., Santa Ana",14,405,KG-12
Achieve Academy School,"1700 28th Ave., Oakland",17,746,KG-05
Achieve Charter Of Paradise Inc. School,"771 Elliott Rd, Paradise",65,233,KG-08
Ada Clegg Elementary School,"6311 Larchwood Dr., Huntington Beach",84,562,KG-05
Ada Givens Elementary School,"2900 Green St., Merced",22,482,KG-06
Ada S. Nelson Elementary School,"8140 S. Vicki Dr., Whittier",43,429,KG-06
Ada W. Harris Elementary School,"1508 Windsor Rd., Cardiff-by-the-Sea",93,353,03-06
Adaline E. Kent Middle School,"800 College Ave., Kentfield",95,573,05-08
Adam (William Laird) Elementary School,"500 W. Windsor, Santa Maria",12,"1,036",KG-06
